unique_reads	ambig_reads	total_reads
0	3	3
0	3	3
0	13	13
0	13	13
0	11	11
0	4	4
0	2	2
0	4	4
0	4	4
0	4	4
0	3	3
0	3	3
0	4	4
0	4	4
0	4	4
0	4	4
0	4	4
0	4	4
0	3	3
0	4	4
0	4	4
0	4	4
0	4	4
0	2	2
0	4	4
0	4	4
0	3	3
0	0	0
0	0	0
0	16	16
0	12	12
0	16	16
0	26	26
0	11	11
0	10	10
0	23	23
0	13	13
0	21	21
0	21	21
0	5	5
0	24	24
0	12	12
0	16	16
0	17	17
0	25	25
0	35	35
0	11	11
0	14	14
0	11	11
0	6	6
0	3	3
0	5	5
0	3	3
0	5	5
0	7	7
0	7	7
0	8	8
0	2	2
0	5	5
0	6	6
0	10	10
0	3	3
0	8	8
0	16	16
0	2	2
0	12	12
0	3	3
0	3	3
0	2	2
0	18	18
0	13	13
0	13	13
0	9	9
0	15	15
0	23	23
0	30	30
0	25	25
0	6	6
0	5	5
0	1	1
0	3	3
0	18	18
0	5	5
0	1	1
0	28	28
0	7	7
0	10	10
0	1	1
0	4	4
0	4	4
0	6	6
0	5	5
0	3	3
0	6	6
0	35	35
0	11	11
0	0	0
0	16	16
0	9	9
0	0	0
0	15	15
0	15	15
0	4	4
0	13	13
0	10	10
0	4	4
0	7	7
0	8	8
1	24	25
0	3	3
0	0	0
0	7	7
0	15	15
0	20	20
0	17	17
0	13	13
0	7	7
0	8	8
0	5	5
0	12	12
0	1	1
0	12	12
0	13	13
0	16	16
0	4	4
0	4	4
0	3	3
0	1	1
0	4	4
0	11	11
0	2	2
0	2	2
0	9	9
0	1	1
0	6	6
0	30	30
0	8	8
0	4	4
0	3	3
0	2	2
0	1	1
0	3	3
0	2	2
0	1	1
0	6	6
0	6	6
0	4	4
0	23	23
0	7	7
0	3	3
0	7	7
0	7	7
0	30	30
0	9	9
0	15	15
0	6	6
0	13	13
0	15	15
0	3	3
0	7	7
0	14	14
0	40	40
0	11	11
0	4	4
0	13	13
0	13	13
0	8	8
0	26	26
0	7	7
0	3	3
0	12	12
0	8	8
0	2	2
0	2	2
0	2	2
0	0	0
0	1	1
0	4	4
0	3	3
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	2	2
0	3	3
0	3	3
0	3	3
0	3	3
0	1	1
0	1	1
0	1	1
0	3	3
0	14	14
0	3	3
0	1	1
0	10	10
0	3	3
0	5	5
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	5	5
0	5	5
0	0	0
0	0	0
0	0	0
0	6	6
0	1	1
0	14	14
0	1	1
0	0	0
0	8	8
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	8	8
0	0	0
0	3	3
0	12	12
0	5	5
0	1	1
0	1	1
0	1	1
0	0	0
0	0	0
0	5	5
0	0	0
0	0	0
0	3	3
0	0	0
0	13	13
0	0	0
0	0	0
0	0	0
0	1	1
0	4	4
0	11	11
0	0	0
0	8	8
0	0	0
0	4	4
0	1	1
0	1	1
0	1	1
0	5	5
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	1	1
0	1	1
0	0	0
0	13	13
0	4	4
0	0	0
0	0	0
0	0	0
0	1	1
0	10	10
0	3	3
0	0	0
0	1	1
1	2	3
0	0	0
0	8	8
0	3	3
0	11	11
0	8	8
0	10	10
0	0	0
0	0	0
0	3	3
0	1	1
0	3	3
0	0	0
0	10	10
0	14	14
0	0	0
0	1	1
0	14	14
0	0	0
0	0	0
0	2	2
0	0	0
0	3	3
0	1	1
0	3	3
0	14	14
0	86	86
0	69	69
0	96	96
0	74	74
0	68	68
0	68	68
0	68	68
0	59	59
0	68	68
0	86	86
0	74	74
0	65	65
1	87	88
0	9	9
0	0	0
0	22	22
0	4	4
0	18	18
0	2	2
0	0	0
0	6	6
0	9	9
0	1	1
0	3	3
0	8	8
0	2	2
0	0	0
0	26	26
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	5	5
0	7	7
0	6	6
0	0	0
0	6	6
0	7	7
0	6	6
0	6	6
0	7	7
1	0	1
0	7	7
0	7	7
0	6	6
0	9	9
0	6	6
0	3	3
0	5	5
0	0	0
100	50	150
0	2	2
0	21	21
0	8	8
0	8	8
0	9	9
0	7	7
0	6	6
0	11	11
0	7	7
0	6	6
0	5	5
0	7	7
0	10	10
0	8	8
0	6	6
0	9	9
0	6	6
0	6	6
0	8	8
0	9	9
0	9	9
0	4	4
0	5	5
0	7	7
0	0	0
0	2	2
0	2	2
0	6	6
0	2	2
0	2	2
0	2	2
0	6	6
0	2	2
0	2	2
0	2	2
0	2	2
0	0	0
0	1	1
0	0	0
0	0	0
5	51	56
0	212	212
0	81	81
0	10	10
0	0	0
0	112	112
0	0	0
0	24	24
1	6	7
0	3	3
0	5	5
0	0	0
0	4	4
0	5	5
0	5	5
0	4	4
0	5	5
0	5	5
0	4	4
0	2	2
0	4	4
0	4	4
0	4	4
0	7	7
0	3	3
0	5	5
0	4	4
0	8	8
0	11	11
0	13	13
0	5	5
0	3	3
0	4	4
0	4	4
0	4	4
0	5	5
0	5	5
0	4	4
0	4	4
0	4	4
0	5	5
0	5	5
0	5	5
0	3	3
0	4	4
0	4	4
0	4	4
0	5	5
0	5	5
0	7	7
1	1	2
0	5	5
0	11	11
0	7	7
0	6	6
0	12	12
0	5	5
0	5	5
0	3	3
0	5	5
0	5	5
0	8	8
0	7	7
0	4	4
0	5	5
0	8	8
0	5	5
0	5	5
0	4	4
0	17	17
0	25	25
0	7	7
0	12	12
0	20	20
0	4	4
0	8	8
0	5	5
0	4	4
0	6	6
0	5	5
0	24	24
0	8	8
0	5	5
0	6	6
0	7	7
0	4	4
0	4	4
0	5	5
0	4	4
0	4	4
0	9	9
0	6	6
0	3	3
0	5	5
0	5	5
0	3	3
0	4	4
