UniqueCount	AmbigCount
0	37
0	0
0	2966
127	644
0	4913
14	1911
0	56
0	1221
0	3088
0	3
55	0
0	0
0	3769
25	347
0	2613
0	0
0	0
1	711
0	3
4	178
0	47656
5	0
0	1
0	475
0	1307
0	1
0	0
0	1
0	0
0	2774
0	8
0	5
5	1820
0	2
4	1186
0	5
0	225
0	4545
38	1239
0	48
0	4
0	5
24	463
0	1361
1808	36
0	81
110	3314
0	3
0	1
104	1
0	0
0	0
72	321
0	44
0	0
0	97
0	145
0	1
3	818
3	0
4413	959
2	2
0	175
20	167
0	0
0	68
0	795
0	207
0	1
1	1064
0	3
6	537
0	0
0	197
1	0
2	0
0	92
0	139
41	1073
0	40
4	1
0	86
0	4029
88	1877
157	340
2129	13
1774	1752
0	0
0	6
2462	968
0	29
388	1789
17	3976
0	1710
0	305
1	0
11	1158
71	955
4	27
0	563
140	1571
5	770
0	0
0	69
0	119
0	1592
110	1500
0	532
0	1
0	3983
260	0
0	0
3902	12
0	168
0	0
11	65
0	0
3	0
0	1945
0	575
14	984
1694	10
0	656
0	1090
0	1
0	2
260	3668
8	3580
0	0
0	36392
18	533
1	2067
0	22
0	893
0	623
0	162
10	232
631	3
55	227
151	219
0	712
7842	37
0	1438
0	62
0	1615
0	0
0	815
0	1475
4	0
0	0
0	1118
1	1
29	373
1535	41
0	0
0	0
105	0
0	2
0	27552
0	4832
0	615
32	1151
0	4959
0	0
0	1249
6301	41
0	2417
0	0
36	0
0	0
0	1
1	7482
97	6720
0	903
127	548
0	1
1	0
2477	16
0	1742
4	0
0	0
0	0
0	256
0	0
5374	54
1	9143
0	34
0	0
7721	34
0	0
0	1481
16	3
0	24
75	4875
1619	11
0	25
237	2
0	4819
1	1
49	0
0	20
1	0
0	0
0	273
0	1
0	0
1	37
0	0
0	97
0	71
56	4
1	108
0	1
275	1561
3	6
0	3508
34	1697
0	2
1	0
0	3
6	3079
0	0
0	0
0	2747
0	1264
0	66
0	3949
17	174
0	1
0	2282
0	0
3	2547
0	75
6	96
0	3236
59	552
2	0
0	38
0	0
0	3685
0	2
1	0
115	1571
4	605
0	629
542	13632
0	0
13	3285
1	4499
3	4536
2010	9
8	1525
0	20
0	0
0	143
0	0
0	352
0	2
0	0
0	20
6	1336
0	275
0	933
0	2824
10	1210
222	1
0	1558
0	178
0	4145
22	0
35418	223
38	939
0	2065
183	1177
0	15
0	3758
0	431
0	11
0	1
0	0
4	6
78	2884
137	1041
0	0
1	118
0	0
0	0
0	1368
0	160
0	2691
0	298
0	1
0	1
224	6955
0	0
0	0
90	1
2	1665
0	728
9	1028
347	3564
0	1
0	0
0	1
0	2
16	1
0	150
0	0
2	0
0	5
3	1421
12	950
15	0
0	0
2	92
0	0
0	0
0	124
0	0
0	174
15	1218
0	0
0	2277
0	1
1451	18
0	0
59	794
4	0
0	1128
0	0
5	1295
0	0
34	389
0	4633
10	0
41	0
0	0
0	0
1	0
1	0
0	0
0	37687
0	15
0	3321
0	1249
0	0
0	8
0	0
0	0
0	1414
4	1100
0	1004
5	842
0	2451
0	25
0	14
0	280
0	10
0	1019
0	69
0	0
2319	9
408	0
0	22
358	9156
0	1625
2318	19
0	18
0	27
0	0
0	782
36	0
3776	26
253	7975
29	598
0	950
1	694
0	2582
19	689
1	1017
789	5255
1	19
0	2
33	2121
0	0
0	90
0	439
0	0
0	105
3	2695
0	1765
41	1734
60	371
0	1270
0	1
0	7
67	223
8	0
1	0
4	0
0	56
0	8
1	2
0	12
1	0
126	4453
0	1018
11	0
0	3341
479	0
0	4
65	3043
0	893
0	4
0	1
7	4515
5	2054
10	931
0	214
0	6
7	6669
2	108
0	200
0	8
0	4176
0	0
3	250
33	0
1	1920
3809	13
51	2134
2	445
0	1
0	2924
0	0
0	0
0	0
0	3160
0	5
1	1116
0	478
0	0
0	0
0	734
1	0
0	9
1	0
1	1270
0	93
0	0
0	3
0	3671
930	2187
2	0
1	3186
0	0
0	3086
0	0
0	0
5	0
0	14
0	0
0	1
0	86
0	0
0	0
0	54
0	7
0	2
5	0
0	0
0	3
1	298
0	2
0	2
0	0
0	0
0	0
1	1855
0	173
0	1
0	15
0	0
11	17918
0	2
0	0
4	0
0	1291
188	784
0	0
0	0
0	0
6	1311
0	1
0	4495
55	7658
0	19
28	7
0	0
0	2155
0	0
0	945
0	2860
0	0
0	0
273	0
0	0
0	9
0	0
0	395
0	249
3	5646
0	22
0	4487
0	2
0	1910
0	0
0	0
220	5077
2	0
125	2391
26	6456
0	103
0	1
2	2
0	0
0	7102
1	1120
0	0
0	0
0	656
0	0
0	0
0	0
0	0
255	1269
0	1391
61	890
113	0
24	145
0	3
0	6
0	2
727	5974
0	0
0	0
19	14
0	185
0	0
2	204
0	0
5	7
0	0
0	5
2182	8023
1838	11
1182	8073
0	0
5	12
0	1
0	0
0	15
0	0
51	38
8	1
54	1
0	2
0	0
0	0
1	5
0	6107
62	3265
0	0
2	0
3	20
0	1
11	161
0	313
0	1212
20	0
0	472
0	5
2	0
0	0
1	0
1	2196
0	8
1208	424
0	2333
0	441
0	298
4382	1056
0	0
0	337
0	2617
200	3051
5	0
0	1
0	0
0	1054
124	2615
0	2613
0	2595
1	2588
0	1391
502	4384
92	1025
2565	5443
30	31528
3	177
2	135
0	224
0	507
0	1
0	2
0	2
0	18
2616	19
0	1
0	0
0	0
16	1609
4	158
0	3
0	0
0	4
0	0
1	0
4	0
0	0
30	0
0	0
0	0
0	6703
0	2838
0	0
119	773
0	3
99	2418
1	32
0	811
61	1921
1	13
0	1863
0	39
7	65
0	25447
5	727
28	1
1	0
4	601
3	0
17	2229
0	0
107	1467
485	1
117	1071
0	0
0	15
0	5
1	4
0	6
0	132
0	522
0	0
0	166
0	602
0	64
0	602
1	0
1	0
0	0
0	0
0	0
10	0
0	6
0	0
0	0
0	0
0	0
11	199
4	0
0	4
1	20
0	3
185	768
0	245
153	1323
0	20
0	0
0	8
0	0
1	1609
0	234
0	0
0	1221
3	0
0	6
0	1
8	924
0	1
0	1
1	4
0	0
5	337
9	585
0	7
0	0
0	7
7	0
0	3
3	84
0	7
0	15
0	0
0	0
0	6
0	0
0	6
32	146
21	0
331	4702
0	0
693	3
2	0
0	0
5	4845
0	8
5	2
0	0
0	0
0	0
1	0
2	0
0	0
0	1
107	7351
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	7
0	0
0	4645
42	1
0	1930
1	0
0	0
13	13
0	1
0	25
0	4
0	0
2	5
0	0
0	76
0	36
0	6
0	6
0	46
92	5452
0	0
1	1
0	1
0	0
14	1729
0	0
0	7
0	0
0	0
34	638
8	2272
0	832
0	145
13359	83
35	284
0	3
0	0
3	362
0	739
23	2191
0	3772
0	0
0	338
0	1
0	0
2	85
0	0
