UniqueCount	AmbigCount
0	0
0	205
0	256
0	252
0	209
0	221
0	217
0	268
0	264
0	541
23	541
9	433
2	165
42	0
2	505
0	505
325	2076
50	2076
7	0
0	0
9	0
334	714
303	714
0	5107
9	7
0	7
9	494
0	536
58	2719
0	2719
0	1600
80	1851
0	1647
0	903
109	2249
4	1594
1	1647
0	1703
22	973
424	0
0	0
4	0
86	0
102	262
111	262
9	329
145	329
2666	0
42	0
13	492
25	554
0	554
42	3143
38	3012
0	3205
50	2754
1	2566
0	3073
39	1303
51	488
261	488
1	0
3	232
80	232
1	0
126	2821
68	2729
296	2821
893	2690
0	0
1	0
185	0
0	0
0	0
5	1038
4	1038
4	390
0	390
14	2026
138	2247
24	1699
112	1830
58	1125
367	2508
37	928
15	1975
97	2026
0	1618
15	2027
51	2210
528	2157
0	1903
1014	1481
5	1854
0	2027
460	0
5	225
0	225
75	0
546	0
340	0
9	0
34	42049
2125	42049
13	0
90	666
0	666
6	892
2	892
0	890
0	12
12	12
8	0
3	677
120	764
2	762
90	764
199	139
0	139
2	489
224	489
125	0
1062	0
2498	0
1554	2117
0	1879
1	1890
512	0
0	47
0	11
1	0
1	0
7	0
240	0
250	1113
1	1133
15	1133
0	2
0	2
0	2
2	6
2	6
532	0
752	0
9	742
0	1994
191	1994
81	0
0	0
0	509
0	509
1406	0
0	0
0	0
0	1
0	1
0	1
4	85
3	85
27	66
10	66
548	0
0	0
2	0
0	0
0	618
0	603
0	678
0	543
0	636
2	605
0	1554
0	1493
6	1476
0	0
0	0
0	0
2757	0
13	2573
0	2810
6	2795
0	4833
1	4589
0	0
137	1434
249	1420
2	1850
64	0
80	722
13	722
0	404
207	404
0	317
0	393
0	306
85	130
3	22
1	22
131	0
1266	0
0	0
1	847
0	2434
0	2560
0	2510
0	2688
2	2240
37	1324
3	948
0	2258
118	2359
5	176
22	176
2873	0
11	0
10	13
0	13
8	9
10	13
9	36
0	36
0	38
2	38
0	321
20	323
115	276
868	0
0	0
165	0
569	0
5	0
0	0
6838	0
10	72
0	72
8	209
0	167
0	126
0	167
0	168
7	26
1	26
0	4128
0	4010
0	3773
0	3655
1	1128
0	1128
177	0
277	0
11	231
26	231
1	2
0	2
0	2
400	0
256	0
44	116
4	116
0	0
0	0
0	0
0	0
26	146
17	146
0	0
3	1
336	0
0	1277
